r,rnn_0,rnn_6,rnn_9,rnn_15,d_0,d_6,d_9,d_15,mu_0,mu_6,mu_9,mu_15
1,5.300298770308276,5.05475086039215,4.94637471683722,4.752837857300081,3.119765969153141e-5,3.624078395401229e-5,3.8662497990914954e-5,4.329357886414825e-5,0.00041440211494024007,0.00042606107239922506,0.0004295074568161415,0.00043281145317058424
2,4.923472208981496,4.732644836355087,4.646889668949398,4.491379766038395,3.9205860250509216e-5,4.381532894795578e-5,4.6012241022059386e-5,5.019406398491145e-5,0.00046640154396360373,0.0004696440513042805,0.0004696515560458142,0.00046753476519322896
3,4.618025964739661,4.465356632800156,4.395784977003546,4.268086890752923,4.6774617513751894e-5,5.092390982723209e-5,5.289495036362319e-5,5.66397224238066e-5,0.0004828233346685018,0.00048027895598649846,0.0004781980093494122,0.0004725943255386311
4,4.37530779608592,4.249122464743066,4.191007415447345,4.083343973610643,5.347855610573056e-5,5.7203884291462085e-5,5.897154993597073e-5,6.23286699636362e-5,0.00046369817773239696,0.0004581542883976809,0.00045490168313088255,0.00044770714304331974
5,4.186624715512496,4.078758106422131,4.028687763207194,3.935282181599038,5.908381068716511e-5,6.245868363246005e-5,6.405691824614695e-5,6.709312490695006e-5,0.0003991518583153639,0.000409142364965448,0.00040565291483903466,0.000398315463480345
6,4.043614807202023,3.9483477260618876,3.903872994941362,3.820483761789082,6.355557560807448e-5,6.664241444197087e-5,6.810764046179126e-5,7.089260022403036e-5,0.0003492261068056114,0.0003430808817584173,0.000339936647044859,0.0003333809419243669
7,3.938392785252444,3.851703545420487,3.811069603910984,3.734605252403516,6.69433418694542e-5,6.981957335244968e-5,7.11854491235656e-5,7.378286889352804e-5,0.0002756614349945313,0.00027071694927574894,0.0002681850629517556,0.0002626719373156023
8,3.863625520924625,3.78267641341295,3.744627681240087,3.6728493983848214,6.939548423832546e-5,7.212133304178951e-5,7.341632462577986e-5,7.588015365375171e-5,0.00020462320007705746,0.00020073002641033227,0.0001987677647860628,0.00019483765618154734
9,3.8126005552440274,3.73539569376717,3.6990413044310646,3.6303446042751255,7.108648292997593e-5,7.371006238523318e-5,7.495680358932504e-5,7.732960799147427e-5,0.00014279187934357384,0.0001400674138729948,0.00013870175897640614,0.00013598020381424926
10,3.7793405304013477,3.7044985397831995,3.6692147608383423,3.6024720702437816,7.219452296177307e-5,7.475181000457129e-5,7.59673215262527e-5,7.828130781327077e-5,9.361304927936318e-5,9.183843857197337e-5,9.09528819167724e-5,8.971698638102008e-5
11,3.7587373295723765,3.685324391767482,3.6506899585542256,3.5851333334802633,7.288224689606869e-5,7.539880307772342e-5,7.659509521757222e-5,7.887258954324392e-5,5.7618944045614634e-5,5.654289678687672e-5,5.6005216863072256e-5,5.492064192012106e-5
12,3.746661140768986,3.674071304230715,3.6398114128922527,3.5749405043528157,7.32852891618478e-5,7.577818555723385e-5,7.696330329484112e-5,7.921966734098033e-5,3.3241085061478744e-5,3.263276184804983e-5,3.232051789261285e-5,3.1714300276360026e-5
13,3.739986344241643,3.667846269042356,3.633790406866624,3.569293614594447,7.35077600121114e-5,7.598767422961302e-5,7.716669020200904e-5,7.941148807370285e-5,1.798174397477145e-5,1.765928932729739e-5,1.7497834115524527e-5,1.7174495397025473e-5
14,3.736516433061168,3.6646071938305975,3.630656858570098,3.56635276178532,7.362316599163357e-5,7.609641442481698e-5,7.727226803186245e-5,7.951110482985011e-5,9.111985241647603e-6,8.951801038357983e-6,8.87138342381191e-6,8.710719900645992e-6
15,3.7348221057644464,3.663024041615278,3.629125064573614,3.564915526354081,7.367937393179755e-5,7.614941761991304e-5,7.732373221213865e-5,7.955964097977303e-5,4.32445926821523e-6,4.249778004697076e-6,4.212326514827456e-6,4.1374389871510595e-6
16,3.734046335092239,3.6622999513781815,3.6284246187172973,3.564255473476236,7.370503711197333e-5,7.617358688004611e-5,7.734719242020447e-5,7.958186258967506e-5,1.921695057897121e-6,1.8892200834921358e-6,1.8728759764947566e-6,1.8410227691081902e-6
17,3.7337136241596824,3.661988186379721,3.6281219961541344,3.5639730781103642,7.371601069865901e-5,7.618396237569294e-5,7.735729890697758e-5,7.95913370582341e-5,7.995872097307559e-7,7.865211702773213e-7,7.799300352256751e-7,7.667261363675248e-7
18,3.73357908081325,3.6618632488338285,3.628001376603149,3.563859085326824,7.372043574806848e-5,7.618810645716814e-5,7.736131257373041e-5,7.959514929279998e-5,3.1147713011169755e-7,3.065165597794692e-7,3.0400233288375475e-7,2.9895212554631364e-7
19,3.7335287097290824,3.66181616104371,3.6279556842093093,3.56381575223821,7.372208686013147e-5,7.618966329729198e-5,7.736282836293622e-5,7.959659413859869e-5,1.1360358752696728e-7,1.1182977718408488e-7,1.1093112473529046e-7,1.0912162670715108e-7
20,3.733511610166615,3.6617992658362684,3.6279393619428295,3.5638005470657705,7.372264454444978e-5,7.619022051240842e-5,7.736336835125977e-5,7.959709923161953e-5,3.878300955065116e-8,3.8192421827571274e-8,3.7889307783019846e-8,3.7282693921073416e-8
