u,t_0,t_01,t_02,t_03,t_04,t_05,t_06
-12.0,3.308714678672487e-7,3.0443344246597217e-7,2.8027207790096446e-7,2.5818418313500507e-7,2.3798574431224546e-7,2.195081856140063e-7,2.0259927717666315e-7
-11.5,2.0079017437858678e-7,1.8519469815486113e-7,1.7091111883134044e-7,1.5782477311001856e-7,1.458313501555916e-7,1.3483532521868338e-7,1.2475021394531908e-7
-11.0,1.2188894740212382e-7,1.1273501552678759e-7,1.0433001533348432e-7,9.660989189665742e-8,8.951634842845084e-8,8.299614554465892e-8,7.700046661356273e-8
-10.5,7.402855600479426e-8,6.868431652446531e-8,6.37630734949238e-8,5.9229884102515654e-8,5.50525575725652e-8,5.1201689469006485e-8,4.76502594011294e-8
-10.0,4.499388097565691e-8,4.189141115643278e-8,3.902514666146847e-8,3.637677541446578e-8,3.39281601311561e-8,3.166355905991658e-8,2.95676416820273e-8
-9.5,2.7376340901444526e-8,2.5585909739277154e-8,2.3926021878568416e-8,2.2386603065452234e-8,2.095831060884913e-8,1.9632689337449543e-8,1.8401782084534882e-8
-9.0,1.6682829867240576e-8,1.5655706132852367e-8,1.4699786026683026e-8,1.380982281081963e-8,1.2980909151911678e-8,1.220860069589533e-8,1.1488709896829112e-8
-8.5,1.0188476730933034e-8,9.602660163551376e-9,9.05521599549377e-9,8.543432113335999e-9,8.064796868041953e-9,7.616993648494536e-9,7.1978815897774675e-9
-8.0,6.2409014082795554e-9,5.908624466769882e-9,5.596760429028929e-9,5.303934116307795e-9,5.028879437716091e-9,4.770440627799287e-9,4.5275111757296736e-9
-7.5,3.838240414648795e-9,3.6506800488133268e-9,3.473841611584439e-9,3.307059574919671e-9,3.149699825858017e-9,3.00118411226562e-9,2.860948906882256e-9
-7.0,2.3730823359998777e-9,2.267620453381744e-9,2.167728855787196e-9,2.073082089216663e-9,1.9833730476263036e-9,1.8983192279556506e-9,1.8176480345054412e-9
-6.5,1.4771961157388096e-9,1.4180517633465547e-9,1.3617702793669909e-9,1.3081971109647056e-9,1.2571864435574606e-9,1.2085997918229084e-9,1.1623086284105203e-9
-6.0,9.273752537753565e-10,8.942372630627987e-10,8.625581417314435e-10,8.322619374173904e-10,8.032865339389444e-10,7.755637770261203e-10,7.490324197103934e-10
-5.5,5.882799317318769e-10,5.696931263239008e-10,5.518443722959666e-10,5.347005968081927e-10,5.182292240553825e-10,5.024013575816561e-10,4.871871381116157e-10
-5.0,3.778337315973547e-10,3.6737259963870436e-10,3.572841435722791e-10,3.475528849519147e-10,3.381627722217598e-10,3.291015008875502e-10,3.2035409674858395e-10
-4.5,2.462022095771375e-10,2.4027937187406444e-10,2.345438697126328e-10,2.2898915890518371e-10,2.2360788318249622e-10,2.1839370555949395e-10,2.1334154363843845e-10
-4.0,1.630863564463641e-10,1.597034206381082e-10,1.5641503003165713e-10,1.532181225008081e-10,1.5010970739105328e-10,1.4708671041058157e-10,1.441464512527194e-10
-3.5,1.1001889643707866e-10,1.0806407612037848e-10,1.0615750066025647e-10,1.0429742312052366e-10,1.0248259462393887e-10,1.0071168182139123e-10,9.898337167443895e-11
-3.0,7.570442697199023e-11,7.455860669650378e-11,7.343750336926161e-11,7.234036366604688e-11,7.126652093417059e-11,7.021548396759296e-11,6.918658643206165e-11
-2.5,5.3200686907685536e-11,5.2517840712870466e-11,5.1847580314269276e-11,5.118980447592716e-11,5.0544229851422335e-11,4.991059963539842e-11,4.928865644360929e-11
-2.0,3.821581691916821e-11,3.780069789222047e-11,3.7392192529797025e-11,3.699041720827272e-11,3.659512875409352e-11,3.6206219677537893e-11,3.5823536484575183e-11
-1.5,2.8074179908391775e-11,2.7816365462688745e-11,2.7562211764728638e-11,2.731164754127924e-11,2.706460477245265e-11,2.6821039924700673e-11,2.6580861527679008e-11
-1.0,2.109433805641594e-11,2.0930511869105603e-11,2.0768703384418387e-11,2.0608888438947888e-11,2.0451030373082352e-11,2.0295099178631335e-11,2.0141075814846026e-11
-0.5,1.6207917677375642e-11,1.6101257027354856e-11,1.5995716813503874e-11,1.5891306251761513e-11,1.578802113262526e-11,1.5685895678310845e-11,1.5584778970770732e-11
0.0,1.2728367505621308e-11,1.2657127059441495e-11,1.2586562844641936e-11,1.2516653971446995e-11,1.2447412250875191e-11,1.2378800177319364e-11,1.2310830417147456e-11
0.5,1.0208953540520234e-11,1.0160015733441312e-11,1.0111782499024488e-11,1.0063757420275754e-11,1.001612823417194e-11,9.968888883858962e-12,9.922035766605619e-12
1.0,8.35535895612402e-12,8.321005552213169e-12,8.286904230804306e-12,8.253050782317661e-12,8.219442573705027e-12,8.186079994977726e-12,8.1529569110814e-12
1.5,6.970495301712726e-12,6.945686670565993e-12,6.921033060814249e-12,6.896548412413217e-12,6.8722164140433194e-12,6.848041246524478e-12,6.824021352429223e-12
2.0,5.921042317176528e-12,5.902650346378264e-12,5.884374257018088e-12,5.866185675115872e-12,5.848110780457846e-12,5.830140025264413e-12,5.812274315430293e-12
2.5,5.1152326482447875e-12,5.101242903869244e-12,5.087350404582361e-12,5.0735181370410364e-12,5.059757403070272e-12,5.046067893809569e-12,5.032448941852336e-12
3.0,4.489113106808787e-12,4.4782189951793914e-12,4.467382230394845e-12,4.456594289728011e-12,4.445856280457588e-12,4.435169111977582e-12,4.424531671959917e-12
3.5,3.99746183529469e-12,3.988725260536859e-12,3.980117450910436e-12,3.97150076063574e-12,3.962922373403324e-12,3.954380096904646e-12,3.9458744440286185e-12
4.0,3.6078526790167795e-12,3.6007552665140254e-12,3.5936886450423587e-12,3.5866491928259965e-12,3.5796374280221573e-12,3.572653508251327e-12,3.565696891686527e-12
4.5,3.2967229805138577e-12,3.290802242564029e-12,3.284902658575391e-12,3.279025523173013e-12,3.273169633961043e-12,3.267335479609407e-12,3.261522534312331e-12
5.0,3.046725028802172e-12,3.0416819859862643e-12,3.0366555275039217e-12,3.031644335520856e-12,3.0266546308198143e-12,3.021679765494593e-12,3.016722292084427e-12
5.5,2.844910141211341e-12,2.8405296712359017e-12,2.836163343076284e-12,2.831811246087361e-12,2.827473468822624e-12,2.823149355393292e-12,2.8188394414996083e-12
6.0,2.6814805204204283e-12,2.6776066806073508e-12,2.6737448833652596e-12,2.6698949788298673e-12,2.6660569572834403e-12,2.6622309131557048e-12,2.6584165332018358e-12
6.5,2.5489290669603917e-12,2.5454458088155455e-12,2.5419728241178708e-12,2.5385102974086e-12,2.535057685584524e-12,2.5316151989553247e-12,2.528183307271006e-12
7.0,2.4414227538554968e-12,2.438242417944713e-12,2.4350713594277066e-12,2.4319092413149063e-12,2.4287560722939287e-12,2.425611687471919e-12,2.422476493427503e-12
7.5,2.3543639512035905e-12,2.3514199759861375e-12,2.3484840150336227e-12,2.3455565208748894e-12,2.342635893123162e-12,2.339723994517188e-12,2.336820100573938e-12
8.0,2.2840812831521586e-12,2.281321574810109e-12,2.2785692536582665e-12,2.2758241327994317e-12,2.273089956717065e-12,2.2703564404176397e-12,2.2676332005935784e-12
