r,xf_0,xf_3,xf_6,xf_9,xf_12,xf_15
-20.0,0.1484308227126358,0.20272320454220452,0.21930705110751486,0.2167448990653759,0.2099313978238465,0.20302648752208766
-19.7,0.14843716896205045,0.2026085732549677,0.2191149694027192,0.21651021575748822,0.20966843988710446,0.20274222010566953
-19.4,0.14842998398408178,0.20245145438904677,0.2188500421868023,0.21619090904491198,0.20931132861884072,0.20235727724188754
-19.1,0.14843009450573674,0.20224284468619286,0.2185020745572578,0.21576691933921122,0.20883953064066363,0.2018495194135756
-18.8,0.14843328151356097,0.20196608705676508,0.21782710631265767,0.21521941143721657,0.20823184455884963,0.2011945804490204
-18.5,0.1484337082744243,0.20161838855082526,0.21747853564548722,0.21452308728597355,0.207461142733533,0.20037385431739033
-18.2,0.1484319063366274,0.20118531840311737,0.21676253730015105,0.21366890069597655,0.2065212074456329,0.19936977843625095
-17.9,0.1484311667517188,0.20065263821558255,0.21589853716490473,0.21263187191280528,0.20538046031801474,0.19815545667906606
-17.6,0.14843465415217436,0.20000772874505,0.2148327267077683,0.2114420424228326,0.20404155516561653,0.19670056756271426
-17.3,0.14843355728406624,0.1992392411164708,0.2136258227708532,0.209931816517316,0.20243035743590373,0.19502594910484558
-17.0,0.14843282748990064,0.19833364577044632,0.21217511263476357,0.20823290981056294,0.2005843731058434,0.19307755545521182
-16.7,0.1484308157627257,0.19728098310131767,0.21050656825428088,0.20627289821459474,0.1984695373925867,0.19085295735197996
-16.4,0.14843864676330565,0.19606604834581692,0.20859841691636666,0.20404727173218443,0.19607267055150454,0.18834182454026183
-16.1,0.14843884582634517,0.1946827559049593,0.206441347250293,0.2014946093376752,0.1933660026390012,0.1855378237391907
-15.8,0.14842799649784424,0.19311235322544745,0.20401423921272868,0.1987053155199369,0.19039939314611387,0.18243357803585925
-15.5,0.1484257534601488,0.19135838869921312,0.20130930984144718,0.19564933539816673,0.18711065908404667,0.17902607167716633
-15.2,0.1484229151133063,0.18940874477162153,0.19832281720277384,0.1922516969167549,0.18351489806963797,0.17531595076939185
-14.9,0.1484193846566654,0.18724323266705556,0.19505324934820797,0.18855693788037764,0.1796271706596737,0.171322800688669
-14.6,0.14842958809364454,0.18487738299256676,0.1915053268508933,0.18456810018904524,0.17545446313457735,0.16705027956758445
-14.3,0.1484013255216714,0.18231290307722856,0.18767358590117633,0.18028726039720044,0.1709951539071626,0.16251414237563075
-14.0,0.1483955209844405,0.1795479476426296,0.1835835923447331,0.17574450535606712,0.16628658829432436,0.1577256912413743
-13.7,0.14838156968865554,0.17659215122298993,0.1792409769476018,0.17095228739834195,0.1613448495140314,0.15273511333974268
-13.4,0.148366840346491,0.17344367970323993,0.17465448074877643,0.16592037113398014,0.1561711584166934,0.1475367777660748
-13.1,0.14834148332809685,0.170136209027929,0.16987408760071424,0.16072325728595924,0.1508716973568844,0.14221772097699428
-12.8,0.14830441009357506,0.16669651381320238,0.1649367456633345,0.15534403092181914,0.14540318054473134,0.13675979856724121
-12.5,0.1482604463828416,0.1631192518935964,0.15983647371529758,0.14984111019055818,0.1398331574174578,0.1312202585563615
-12.2,0.14820557125079387,0.15944192164250087,0.15462966425582694,0.14424552185568662,0.13419212093113364,0.12562409085759094
-11.9,0.14813025326947526,0.155688811687024,0.14934114839206614,0.13858414081721357,0.12850607907630113,0.12001426072451485
-11.6,0.14803148930084778,0.1518857844030808,0.1440261369877422,0.13291330066487725,0.12282860610100171,0.11443098411727266
-11.3,0.14790792191705035,0.14805711714691913,0.13871320411921712,0.12726435722606266,0.11719244472209754,0.10889972826864522
-11.0,0.14775096492333012,0.14424470206735188,0.13344666972283714,0.12167632482134638,0.11162944357119271,0.10345702885950393
-10.7,0.1475525582797789,0.14046753348290666,0.12826260247527277,0.11618752559043385,0.10617535068831478,0.09812958609152077
-10.4,0.14730385949378288,0.13676139761558762,0.123196449970663,0.11082764451815565,0.10085630447828896,0.09294565378548025
-10.1,0.14699553348339603,0.1331325199620688,0.11828466608599449,0.10563787272228126,0.09570892915211561,0.08793289420628198
-9.8,0.1466148531043234,0.12961891023355765,0.1135551334449824,0.10063902476968407,0.09075148631249486,0.08310593816952369
-9.5,0.14614891771899502,0.12623360499813327,0.10903952132230423,0.09586405214255989,0.08601395302164026,0.07849648188184462
-9.2,0.14558287899358835,0.12299361450365327,0.1047589441128344,0.09133626621965185,0.08151455749373186,0.0741146356615355
-8.9,0.1448997871403161,0.11989495373053295,0.10071865068674886,0.08699001557467315,0.07725679682512683,0.06996215836415974
-8.6,0.14408566710340157,0.11695802643353914,0.09695258233167373,0.08306924091795173,0.07327745350877615,0.06607601186007554
-8.3,0.1431217841365814,0.11417500706795464,0.09345812198567172,0.07937012669830538,0.0695483708192366,0.06244893605033277
-8.0,0.1419899155826499,0.11153602329982805,0.09022969547327545,0.07602001591065494,0.06621506370720685,0.05914717922056303
-7.7,0.1406697418258896,0.10903308670023823,0.08726771580277567,0.07284885825896474,0.06302099683014147,0.05599671210911742
-7.4,0.13914050487846685,0.10665028963995946,0.08456118322948207,0.07002297718692964,0.06017567704178405,0.05317955169528192
-7.1,0.1373997427369545,0.10437649103190522,0.08210618083431505,0.06749238857493217,0.05760777650222719,0.050628974740430224
-6.8,0.13542076495110583,0.10216861052181189,0.07984890125186472,0.06519921707172723,0.05531497861420585,0.048343981944678774
-6.5,0.13319326620835242,0.10002416416259029,0.07779752804690684,0.06317015055357915,0.05328351100274799,0.04631577296172347
-6.2,0.13070981215472774,0.09790896209505907,0.07591395953936766,0.061354312413606074,0.05148268099064456,0.044517324142456224
-5.9,0.1279688994229089,0.09478819520286573,0.07415465274594801,0.05975582830591755,0.049925465357918704,0.04296775000935214
-5.6,0.12497032533975078,0.0936721183197502,0.07252185084863731,0.05832199131105835,0.04856105285977118,0.04162105140625613
-5.3,0.12171954988363322,0.0914935357995269,0.07095609296276736,0.0570279434679141,0.047371789807693125,0.0404639049045353
-5.0,0.1182262991376623,0.0892635097899661,0.06943381210607354,0.055843206553248786,0.04632899498663268,0.0394726205072559
-4.7,0.1145088649220104,0.09582458060707924,0.06792605332145114,0.05473543467228773,0.04540337340686071,0.03864997835985006
-4.4,0.11058768143758645,0.08455545809927795,0.06640687235591959,0.053674642819249364,0.04456528828121865,0.0378848744901418
-4.1,0.10648818379590104,0.08206076177701448,0.06485377135175864,0.0526593372084077,0.04378617473729424,0.03723463335960523
-3.8,0.10224022617941658,0.07946554123710892,0.06322923532993563,0.051581786451653365,0.04303691666749235,0.03667919753731151
