u,xf
-15.0,0.1484205187665279
-14.5,0.14842318018053732
-14.0,0.14839552098444025
-13.5,0.14837384820096175
-13.0,0.14833133381846186
-12.5,0.14826044638284172
-12.0,0.14815746353684575
-11.5,0.1479936755355811
-11.0,0.1477509649233301
-10.5,0.14739286050519115
-10.0,0.14687725410776442
-9.5,0.14614891771899471
-9.0,0.1451323549731248
-8.5,0.14378173529478766
-8.0,0.1419899155826499
-7.5,0.13967682126106115
-7.0,0.13676638171018377
-6.5,0.13319326620835242
-6.0,0.12891220989507965
-5.5,0.12391422655539014
-5.0,0.11822629913766215
-4.5,0.11191589747516788
-4.0,0.10508746161689794
-3.5,0.0978750103337517
-3.0,0.09044032500040927
-2.5,0.08291723593915445
-2.0,0.0754825375762775
-1.5,0.06826057864293514
-1.0,0.0613620677911391
-0.5,0.0548647938060258
0.0,0.04882727652858045
0.5,0.043268466587116895
1.0,0.038203932262397156
1.5,0.0336194418292485
2.0,0.029497987440349566
2.5,0.025797483262414184
3.0,0.022499198109815013
3.5,0.01956225759359159
4.0,0.016951300251614163
4.5,0.014634913281119438
5.0,0.012082637944251736
5.5,0.010766120086761054
6.0,0.009162666824782341
6.5,0.007750072401456123
7.0,0.006510192967157442
7.5,0.0054267160078354335
8.0,0.004484372812678757
8.5,0.0036706700379000325
9.0,0.002973654359242332
9.5,0.002382214571612499
10.0,0.0018857265867747808
10.5,0.0014738112996612379
11.0,0.0011369981835011253
11.5,0.0008643702500505103
12.0,0.0006480746670940517
12.5,0.00047868505953766924
13.0,0.00034824335351141814
13.5,0.00024942391899312224
14.0,0.00017585595154451903
14.5,0.00012201924784399786
15.0,8.33182303429371e-5
