r,d,mu,ein
0.0,4.851463662971108e-7,6.639643845866042e-6,0.1738550621951813
0.001,2.1727023168151155e-8,2.925604064055008e-7,0.3339195483746725
0.002,1.1600832365755153e-8,1.5365590809173006e-7,0.3305859317800305
0.003,8.15283767774145e-9,1.0619907065263039e-7,0.3250530842911687
0.004,6.4302213487618775e-9,8.237003188996446e-8,0.3191023484838256
0.005,5.407905344487155e-9,6.811515232869708e-8,0.31313755919732195
0.006,4.739388048855288e-9,5.8912724372751596e-8,0.30724158043547534
