charge,Ni,kp,ke
6.752987889470568e10,1.0e21,0.0113126895878816,5.830238352420556e-6
2.02589636684117e11,3.0e21,0.03393806876364479,5.503028006607139e-5
3.3764939447352844e11,5.0e21,0.05656344793940799,0.00013069673218592598
4.7270915226293976e11,7.0e21,0.07918882711517118,0.0002195011600502509
6.077689100523511e11,9.0e21,0.10181420629093439,0.0003156163311289041
